ARCH: wormhole_b0, CHIP_FREQ[MHz]: 1000
PCIe slot, core_x, core_y, RISC processor type, timer_id, time[cycles since reset], data, run host ID, trace id, trace id counter, zone name, type, source line, source file, meta data
3,1,1,TRISC_1,360,11019124110722,0,4099,,,TRISC-KERNEL,ZONE_START,62,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
3,1,1,TRISC_1,360,11019124268798,0,4099,,,TRISC-KERNEL,ZONE_END,62,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
3,1,1,TRISC_1,8413,11019124270673,0,4099,,,TRISC-FW,ZONE_END,136,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
3,1,1,TRISC_2,8413,11018334781414,0,2051,,,TRISC-FW,ZONE_START,136,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
3,1,1,TRISC_2,360,11018334782516,0,2051,,,TRISC-KERNEL,ZONE_START,62,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
3,1,1,TRISC_2,360,11018335286498,0,2051,,,TRISC-KERNEL,ZONE_END,62,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
3,1,1,TRISC_2,8413,11018335286742,0,2051,,,TRISC-FW,ZONE_END,136,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
3,1,1,TRISC_2,8413,11019124110546,0,4099,,,TRISC-FW,ZONE_START,136,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
3,1,1,TRISC_2,360,11019124110879,0,4099,,,TRISC-KERNEL,ZONE_START,62,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
3,1,1,TRISC_2,360,11019124270158,0,4099,,,TRISC-KERNEL,ZONE_END,62,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisck.cc,
3,1,1,TRISC_2,8413,11019124270784,0,4099,,,TRISC-FW,ZONE_END,136,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/trisc.cc,
3,1,2,BRISC,61457,11017522886730,0,1027,,,BRISC-FW,ZONE_START,412,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
3,1,2,BRISC,63326,11017522887436,0,1027,,,BRISC-KERNEL,ZONE_START,64,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
3,1,2,BRISC,63326,11017522891892,0,1027,,,BRISC-KERNEL,ZONE_END,64,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
3,1,2,BRISC,61457,11017522892062,0,1027,,,BRISC-FW,ZONE_END,412,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
3,1,2,BRISC,61457,11018334781705,0,2051,,,BRISC-FW,ZONE_START,412,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
3,1,2,BRISC,63326,11018334782511,0,2051,,,BRISC-KERNEL,ZONE_START,64,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
3,1,2,BRISC,63326,11018335389433,0,2051,,,BRISC-KERNEL,ZONE_END,64,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
3,1,2,BRISC,61457,11018335389617,0,2051,,,BRISC-FW,ZONE_END,412,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
3,1,2,BRISC,61457,11018391680743,0,3075,,,BRISC-FW,ZONE_START,412,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
3,1,2,BRISC,63326,11018391681458,0,3075,,,BRISC-KERNEL,ZONE_START,64,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
3,1,2,BRISC,63326,11018392296865,0,3075,,,BRISC-KERNEL,ZONE_END,64,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
3,1,2,BRISC,61457,11018392297041,0,3075,,,BRISC-FW,ZONE_END,412,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
3,1,2,BRISC,61457,11019124110313,0,4099,,,BRISC-FW,ZONE_START,412,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
3,1,2,BRISC,63326,11019124111171,0,4099,,,BRISC-KERNEL,ZONE_START,64,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
3,1,2,BRISC,63326,11019124277277,0,4099,,,BRISC-KERNEL,ZONE_END,64,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisck.cc,
3,1,2,BRISC,61457,11019124277456,0,4099,,,BRISC-FW,ZONE_END,412,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/brisc.cc,
3,1,2,NCRISC,12030,11017522886873,0,1027,,,NCRISC-FW,ZONE_START,123,/home/ekaterina_kuzmina1/tenstorrent/.venv/lib/python3.10/site-packages/ttnn/tt_metal/hw/firmware/src/tt-1xx/ncrisc.cc,
